participant_id,video_id,recording_elegible,cam_allowed,azure_features,video_error,duration_recording,survey_duration,pre_quiz1,pre_quiz2,post_quiz1,post_quiz2,post_quiz3,post_quiz4,post_quiz5,post_quiz6,post_quiz7,post_quiz8,self_interest,self_boring,self_confusion,self_easy,demo_age,demo_gender,demo_race,demo_ethnicity,demo_marital_status,demo_education,demo_income,demo_employment,demo_industry,demo_country,demo_region,correct,correct_pre_quiz,correct_post_quiz,self_raw_anger,self_raw_contempt,self_raw_disgust,self_raw_fear,self_raw_happiness,self_raw_neutral,self_raw_sadness,self_raw_surprise,reported_emotions
3592299,20965,1,1.0,0.0,0,276.677,806,b,d,b,d,b,a,b,a,c,b,5,4,6,3,a,b,c,b,a,d,g,e,h,US,b,7,0,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3167099,20965,1,1.0,1.0,0,238.272,864,a,a,b,a,b,a,d,b,d,c,6,3,2,6,b,b,c,b,a,d,a,e,g,US,b,5,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2835499,20965,1,1.0,1.0,0,273.3,425,b,a,c,b,d,b,b,d,a,c,6,2,2,6,b,a,c,b,a,d,a,e,G,US,b,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9745059,20965,1,1.0,0.0,1,,408,d,c,c,c,c,d,d,d,c,c,4,3,3,3,d,c,e,b,e,f,c,a,u,BR,b,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9265031,18990,1,1.0,0.0,1,,690,a,c,b,b,b,a,b,a,a,a,7,3,2,7,a,b,c,b,a,e,b,e,j,US,b,7,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
527031,18990,1,1.0,1.0,0,293.471,693,a,c,b,b,b,a,b,a,d,b,4,4,3,5,b,a,c,b,a,e,g,e,G,US,b,9,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4062771,18990,1,1.0,1.0,0,292.787,598,b,c,b,d,b,a,b,a,d,b,6,1,2,6,a,b,c,b,a,d,c,e,G,US,b,9,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5416411,18990,1,1.0,1.0,0,293.418,566,a,c,b,d,b,a,b,a,d,b,4,6,2,4,b,b,c,b,a,e,b,e,h,US,b,10,2,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2850511,18990,1,0.0,0.0,0,,1961,a,a,b,b,d,c,b,d,c,d,6,2,2,6,b,b,c,b,a,e,a,e,l,US,b,3,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
560671,18990,1,1.0,1.0,0,293.165,851,a,a,b,a,b,b,d,a,d,b,7,1,2,6,a,a,c,b,a,b,d,e,q,IN,f,6,1,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6173231,18990,1,0.0,0.0,0,,658,a,c,b,b,b,b,b,a,d,b,3,5,2,6,b,b,f,b,b,d,g,e,p,US,b,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
989391,18990,1,1.0,0.0,1,,1067,a,a,b,b,b,a,b,a,d,b,5,2,2,6,b,a,c,b,a,e,a,e,G,US,b,8,1,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6949280,27980,0,0.0,0.0,0,,863,a,a,b,b,b,a,b,a,d,b,6,5,2,4,e,a,c,b,b,e,f,a,B,SE,e,8,1,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4492640,27980,0,0.0,0.0,0,,675,a,c,b,b,b,c,b,a,d,c,7,3,2,6,b,a,c,b,a,e,c,e,h,US,b,7,2,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1445360,27980,0,0.0,0.0,0,,777,a,c,b,b,b,a,b,a,d,b,5,4,2,5,b,a,c,b,a,e,a,e,G,US,b,9,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6838560,27980,0,0.0,0.0,0,,600,a,c,c,b,b,a,b,a,d,b,6,2,4,4,b,a,c,b,a,e,a,e,G,US,b,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1019620,27980,0,0.0,0.0,0,,741,a,c,b,b,b,a,b,a,d,b,5,3,1,6,a,a,c,b,a,d,h,e,G,US,b,9,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3906960,27980,0,0.0,0.0,0,,725,a,c,b,b,b,c,d,b,d,d,7,1,4,7,b,a,c,b,a,e,d,a,n,US,b,5,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
638920,27980,0,0.0,0.0,0,,704,a,b,b,c,b,a,b,a,b,b,7,3,3,6,a,a,c,b,f,d,g,e,h,US,b,7,1,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
8614580,27980,0,0.0,0.0,0,,445,a,a,c,b,b,a,a,c,a,a,7,1,1,7,b,a,c,b,a,e,b,e,j,US,b,3,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4060800,27980,0,0.0,0.0,0,,600,a,c,b,b,b,a,d,a,d,b,4,5,2,6,a,b,c,b,a,d,g,e,l,US,b,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1504220,27980,0,0.0,0.0,0,,531,c,d,c,b,d,c,b,d,a,d,2,2,6,5,b,d,c,c,f,e,b,e,j,US,b,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3459480,27980,0,0.0,0.0,0,,924,d,c,b,d,b,a,b,a,d,c,6,2,1,7,a,a,c,b,a,d,h,e,j,IN,f,8,1,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9549680,27980,0,0.0,0.0,0,,823,a,a,b,b,b,b,a,a,a,a,7,2,4,4,b,b,c,c,d,d,h,b,q,IN,f,4,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7990820,27980,0,0.0,0.0,0,,740,a,a,b,b,b,d,b,a,b,a,4,4,6,3,a,a,c,b,a,a,h,e,l,US,b,5,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3126140,27980,0,0.0,0.0,0,,558,a,c,b,b,b,a,b,a,d,c,6,2,2,6,a,a,c,b,a,e,f,a,h,US,b,8,2,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
